sample_id	sample_name	latitude	longitude	depth
89	CSHLIIR00-20a-S69C001-0015	24.286	-156.412	15
90	CSHLIIR00-20a-S70C001-0015	24.283	-156.387	15
91	CSHLIID00-20a-S06C001-0015	24.349	-156.798	15
92	CSHLIID00-20a-S07C001-0015	24.367	-156.799	15
93	CSHLIID00-20a-S08C001-0015	24.388	-156.767	15
94	CSHLIID00-20a-S09C001-0015	24.387	-156.767	15
95	CSHLIID00-20a-S14C001-0015	24.424	-156.761	15
96	CSHLIID00-20a-S15C001-0015	24.46	-156.738	15
97	CSHLIID00-20a-S16C001-0015	24.481	-156.718	15
98	CSHLIID00-20a-S17C001-0015	24.497	-156.687	15
99	CSHLIID00-20a-S18C001-0015	24.533	-156.646	15
102	CSHLIID00-20a-S20C001-0015	24.541	-156.634	15
103	CSHLIID00-20a-S21C001-0015	24.552	-156.581	15
104	CSHLIID00-20a-S22C001-0015	24.552	-156.585	15
105	CSHLIID00-20a-S23C001-0015	24.564	-156.557	15
106	CSHLIID00-20a-S24C001-0015	24.595	-156.524	15
107	CSHLIID00-20a-S26C001-0015	24.603	-156.51	15
108	CSHLIID00-20a-S28C001-0015	24.603	-156.504	15
109	CSHLIID00-20a-S29C001-0015	24.586	-156.438	15
110	CSHLIID00-20a-S30C001-0015	24.576	-156.42	15
111	CSHLIID00-20a-S31C001-0015	24.57	-156.426	15
112	CSHLIID00-20a-S32C001-0015	24.583	-156.413	15
113	CSHLIID00-20a-S33C001-0015	24.576	-156.387	15
114	CSHLIID00-20a-S34C001-0015	24.576	-156.381	15
115	CSHLIID00-20a-S35C001-0015	24.583	-156.364	15
116	CSHLIID00-20a-S37C001-0015	24.583	-156.363	15
117	CSHLIID00-20a-S47C001-0015	24.535	-156.309	15
118	CSHLIID00-20a-S49C001-0015	24.497	-156.307	20
119	CSHLIID00-20a-S51C001-0015	24.5	-156.312	20
120	CSHLIID00-20a-S52C001-0015	24.496	-156.298	15
121	CSHLIID00-20a-S53C001-0015	24.498	-156.302	15
122	CSHLIID00-20a-S54C001-0015	24.481	-156.301	15
123	CSHLIID00-20a-S55C001-0015	24.478	-156.297	15
124	CSHLIID00-20a-S56C001-0015	24.473	-156.293	15
125	CSHLIID00-20a-S57C001-0015	24.415	-156.314	15
126	CSHLIID00-20a-S58C001-0015	24.414	-156.315	15
127	CSHLIID00-20a-S60C001-0015	24.413	-156.312	15
128	CSHLIID00-20a-S61C001-0015	24.405	-156.355	15
129	CSHLIID00-20a-S63C001-0015	24.398	-156.35	15
130	CSHLIID00-20a-S64C001-0015	24.362	-156.343	15
131	CSHLIID00-20a-S66C001-0015	24.346	-156.347	15
132	CSHLIID00-20a-S67C001-0015	24.349	-156.314	15
133	CSHLIID00-20a-S68C001-0015	24.29	-156.408	15
134	CSHLIID00-20a-S69C001-0015	24.286	-156.412	15
135	CSHLIID00-20a-S70C001-0015	24.283	-156.387	15
138	10a-268-400-DNA	22.75	-158	400
139	11a-268-500-DNA	22.75	-158	500
140	12a-268-770-DNA	22.75	-158	770
141	13a-268-5-RNA	22.75	-158	5
142	14a-268-25-RNA	22.75	-158	25
143	15a-268-45-RNA	22.75	-158	45
144	16a-268-75-RNA	22.75	-158	75
145	17a-268-100-RNA	22.75	-158	100
146	18a-268-125-RNA	22.75	-158	125
147	19a-268-150-RNA	22.75	-158	150
148	1a-268-5-DNA	22.75	-158	5
149	20a-268-175-RNA	22.75	-158	175
150	21a-268-300-RNA	22.75	-158	300
151	22a-268-400-RNA	22.75	-158	400
152	23a-268-500-RNA	22.75	-158	500
153	24a-268-770-RNA	22.75	-158	770
154	25a-268-5-DeDNA	22.75	-158	5
155	26a-268-25-DeDNA	22.75	-158	25
156	27a-268-45-DeDNA	22.75	-158	45
157	28a-268-75-DeDNA	22.75	-158	75
158	29a-268-100-DeDNA	22.75	-158	100
159	2a-268-25-DNA	22.75	-158	25
160	30a-268-125-DeDNA	22.75	-158	125
161	31a-268-150-DeDNA	22.75	-158	150
162	32a-268-175-DeDNA	22.75	-158	175
163	33a-268-300-DeDNA	22.75	-158	300
164	34a-268-400-DeDNA	22.75	-158	400
165	35a-268-500-DeDNA	22.75	-158	500
166	36a-268-770-DeDNA	22.75	-158	770
167	3a-268-45-DNA	22.75	-158	45
168	4a-268-75-DNA	22.75	-158	75
169	5a-268-100-DNA	22.75	-158	100
170	6a-268-125-DNA	22.75	-158	125
171	7a-268-150-DNA	22.75	-158	150
172	8a-268-175-DNA	22.75	-158	175
173	9a-268-300-DNA	22.75	-158	300
174	10b-271-150-RNA	22.75	-158	150
175	11b-271-175-RNA	22.75	-158	175
176	12b-271-300-RNA	22.75	-158	300
177	13b-271-400-RNA	22.75	-158	400
178	14b-271-500-RNA	22.75	-158	500
179	15b-271-770-RNA	22.75	-158	770
180	16b-271-5-DeDNA	22.75	-158	5
181	17b-271-25-DeDNA	22.75	-158	25
182	18b-271-45-DeDNA	22.75	-158	45
183	19b-271-75-DeDNA	22.75	-158	75
184	1b-271-300-DNA	22.75	-158	300
185	20b-271-100-DeDNA	22.75	-158	100
186	21b-271-125-DeDNA	22.75	-158	125
187	22b-271-150-DeDNA	22.75	-158	150
188	23b-271-175-DeDNA	22.75	-158	175
189	24b-271-300-DeDNA	22.75	-158	300
190	25b-271-400-DeDNA	22.75	-158	400
191	26b-271-500-DeDNA	22.75	-158	500
192	27b-271-770-DeDNA	22.75	-158	770
193	2b-271-400-DNA	22.75	-158	400
194	37a-271-5-DNA	22.75	-158	5
195	38a-271-25-DNA	22.75	-158	25
196	39a-271-75-DNA	22.75	-158	75
197	3b-271-500-DNA	22.75	-158	500
198	40a-271-100-DNA	22.75	-158	100
199	41a-271-125-DNA	22.75	-158	125
200	42a-271-150-DNA	22.75	-158	150
201	43a-271-175-DNA	22.75	-158	175
202	4b-271-770-DNA	22.75	-158	770
203	5b-271-5-RNA	22.75	-158	5
204	6b-271-25-RNA	22.75	-158	25
205	7b-271-75-RNA	22.75	-158	75
206	8b-271-100-RNA	22.75	-158	100
207	9b-271-125-RNA	22.75	-158	125
208	10c-275-45-DeDNA	22.75	-158	45
209	11c-275-75-DeDNA	22.75	-158	75
210	12c-275-100-DeDNA	22.75	-158	100
211	13c-275-125-DeDNA	22.75	-158	125
212	14c-275-150-DeDNA	22.75	-158	150
213	15c-275-175-DeDNA	22.75	-158	175
214	16c-275-300-DeDNA	22.75	-158	300
215	17c-275-400-DeDNA	22.75	-158	400
216	18c-275-500-DeDNA	22.75	-158	500
217	19c-275-770-DeDNA	22.75	-158	770
218	1c-275-125-RNA	22.75	-158	125
219	28b-275-5-DNA	22.75	-158	5
220	29b-275-25-DNA	22.75	-158	25
221	2c-275-150-RNA	22.75	-158	150
222	30b-275-45-DNA	22.75	-158	45
223	31b-275-75-DNA	22.75	-158	75
224	32b-275-100-DNA	22.75	-158	100
225	33b-275-125-DNA	22.75	-158	125
226	34b-275-150-DNA	22.75	-158	150
227	35b-275-175-DNA	22.75	-158	175
228	36b-275-300-DNA	22.75	-158	300
229	37b-275-400-DNA	22.75	-158	400
230	38b-275-500-DNA	22.75	-158	500
231	39b-275-770-DNA	22.75	-158	770
232	3c-275-175-RNA	22.75	-158	175
233	40b-275-5-RNA	22.75	-158	5
234	41b-275-25-RNA	22.75	-158	25
235	42b-275-45-RNA	22.75	-158	45
236	43b-275-75-RNA	22.75	-158	75
237	44b-275-100-RNA	22.75	-158	100
238	4c-275-300-RNA	22.75	-158	300
239	5c-275-400-RNA	22.75	-158	400
240	6c-275-500-RNA	22.75	-158	500
241	7c-275-770-RNA	22.75	-158	770
242	8c-275-5-DeDNA	22.75	-158	5
243	9c-275-25-DeDNA	22.75	-158	25
244	20c-279-5-DNA	22.75	-158	5
245	21c-279-25-DNA	22.75	-158	25
246	22c-279-45-DNA	22.75	-158	45
247	23c-279-75-DNA	22.75	-158	75
248	24c-279-100-DNA	22.75	-158	100
249	25c-279-125-DNA	22.75	-158	125
250	26c-279-150-DNA	22.75	-158	150
251	27c-279-175-DNA	22.75	-158	175
252	28c-279-300-DNA	22.75	-158	300
253	29c-279-400-DNA	22.75	-158	400
254	30c-279-500-DNA	22.75	-158	500
255	31c-279-770-DNA	22.75	-158	770
256	32c-279-5-RNA	22.75	-158	5
257	33c-279-25-RNA	22.75	-158	25
258	34c-279-45-RNA	22.75	-158	45
259	35c-279-75-RNA	22.75	-158	75
260	36c-279-100-RNA	22.75	-158	100
261	37c-279-125-RNA	22.75	-158	125
262	38c-279-150-RNA	22.75	-158	150
263	39c-279-175-RNA	22.75	-158	175
264	40c-279-300-RNA	22.75	-158	300
265	41c-279-400-RNA	22.75	-158	400
266	42c-279-500-RNA	22.75	-158	500
267	43c-279-770-RNA	22.75	-158	770
268	HOT224_1_0025m	22.75	-158	25
269	HOT224_1_0045m	22.75	-158	45
270	HOT224_1_0075m	22.75	-158	75
271	HOT224_1_0125m	22.75	-158	125
272	HOT224_1_0200m	22.75	-158	200
273	HOT224_1_0500m	22.75	-158	500
274	HOT224_1_0770m	22.75	-158	770
275	HOT224_1_1000m	22.75	-158	1000
276	HOT225_1_0025m	22.75	-158	25
277	HOT225_1_0045m	22.75	-158	45
278	HOT225_1_0075m	22.75	-158	75
279	HOT225_1_0125m	22.75	-158	125
280	HOT225_1_0200m	22.75	-158	200
281	HOT225_1_0500m	22.75	-158	500
282	HOT225_1_0770m	22.75	-158	770
283	HOT225_1_1000m	22.75	-158	1000
284	HOT226_1_0025m	22.75	-158	25
285	HOT226_1_0045m	22.75	-158	45
286	HOT226_1_0075m	22.75	-158	75
287	HOT226_1_0200m	22.75	-158	200
288	HOT226_1_0500m	22.75	-158	500
289	HOT226_1_0770m	22.75	-158	770
290	HOT226_1_1000m	22.75	-158	1000
291	HOT227_1_0025m	22.75	-158	25
292	HOT227_1_0045m	22.75	-158	45
293	HOT227_1_0075m	22.75	-158	75
294	HOT227_1_0125m	22.75	-158	125
295	HOT227_1_0500m	22.75	-158	500
296	HOT227_1_0770m	22.75	-158	770
297	HOT227_1_1000m	22.75	-158	1000
298	HOT229_1_0025m	22.75	-158	25
299	HOT229_2_0025m	22.75	-158	25
300	HOT229_1_0125m	22.75	-158	125
301	HOT229_1_0200m	22.75	-158	200
302	HOT229_1_0500m	22.75	-158	500
303	HOT229_2_0500m	22.75	-158	500
304	HOT229_3_0500m	22.75	-158	500
305	HOT229_2_0770m	22.75	-158	770
306	HOT229_1_1000m	22.75	-158	1000
307	HOT231_1_0025m	22.75	-158	25
308	HOT231_2_0025m	22.75	-158	25
309	HOT231_1_0075m	22.75	-158	75
310	HOT231_1_0125m	22.75	-158	125
311	HOT231_2_0125m	22.75	-158	125
312	HOT231_1_0200m	22.75	-158	200
313	HOT231_1_0500m	22.75	-158	500
314	HOT231_1_0770m	22.75	-158	770
315	HOT231_1_1000m	22.75	-158	1000
316	HOT232_1_0025m	22.75	-158	25
317	HOT232_1_0075m	22.75	-158	75
318	HOT232_1_0125m	22.75	-158	125
319	HOT232_1_0200m	22.75	-158	200
320	HOT232_1_0500m	22.75	-158	500
321	HOT232_2_0500m	22.75	-158	500
322	HOT232_3_0500m	22.75	-158	500
323	HOT232_1_0770m	22.75	-158	770
324	HOT232_1_1000m	22.75	-158	1000
325	HOT233_1_0025m	22.75	-158	25
326	HOT233_2_0025m	22.75	-158	25
327	HOT233_1_0075m	22.75	-158	75
328	HOT233_1c_0125m	22.75	-158	125
329	HOT233_1c_0200m	22.75	-158	200
330	HOT233_1c_0500m	22.75	-158	500
331	HOT233_2c_0500m	22.75	-158	500
332	HOT233_1c_0770m	22.75	-158	770
333	HOT233_1_1000m	22.75	-158	1000
334	HOT234_2_0025m	22.75	-158	25
335	HOT234_3_0025m	22.75	-158	25
336	HOT234_1_0075m	22.75	-158	75
337	HOT234_2_0075m	22.75	-158	75
338	HOT234_2_0125m	22.75	-158	125
339	HOT234_1_0200m	22.75	-158	200
340	HOT234_2_0200m	22.75	-158	200
341	HOT234_1_0500m	22.75	-158	500
342	HOT234_1_0770m	22.75	-158	770
343	HOT234_1_1000m	22.75	-158	1000
344	HOT236_1_0025m	22.75	-158	25
345	HOT236_1_0075m	22.75	-158	75
346	HOT236_1_0125m	22.75	-158	125
347	HOT236_1_0200m	22.75	-158	200
348	HOT236_1_0500m	22.75	-158	500
349	HOT236_2_0500m	22.75	-158	500
350	HOT236_2_0770m	22.75	-158	770
351	HOT236_1_1000m	22.75	-158	1000
352	HOT237_1_0025m	22.75	-158	25
353	HOT237_3_0025m	22.75	-158	25
354	HOT237_1_0075m	22.75	-158	75
355	HOT237_2_0075m	22.75	-158	75
356	HOT237_3_0125m	22.75	-158	125
357	HOT237_1_0200m	22.75	-158	200
358	HOT237_0500m	22.75	-158	500
359	HOT237_1_0500m	22.75	-158	500
360	HOT237_2_0500m	22.75	-158	500
361	HOT237_3_0500m	22.75	-158	500
362	HOT237_1_0770m	22.75	-158	770
363	HOT237_2_0770m	22.75	-158	770
364	HOT237_1_1000m	22.75	-158	1000
365	HOT237_2_1000m	22.75	-158	1000
366	HOT238_1_0025m	22.75	-158	25
367	HOT238_1_0075m	22.75	-158	75
368	HOT238_1c_0125m	22.75	-158	125
369	HOT238_1c_0200m	22.75	-158	200
370	HOT238_1_0500m	22.75	-158	500
371	HOT238_2_0500m	22.75	-158	500
372	HOT238_2_0770m	22.75	-158	770
373	HOT238_1_1000m	22.75	-158	1000
374	HOT238_2_1000m	22.75	-158	1000
376	SM001_072615_10pm_rep2.fastq.tar	24.424	-156.761	15
377	SM002_072715_2am_rep2.fastq.tar	24.46	-156.738	15
378	SM003_072715_6am_rep2.fastq.tar	24.481	-156.718	15
379	SM004_072715_10am_rep1.fastq.tar	24.497	-156.687	15
380	SM005_072715_2pm_rep1.fastq.tar	24.533	-156.646	15
381	SM006_072715_2pm_rep2.fastq.tar	24.533	-156.646	15
382	SM007_072715_2pm_rep3.fastq.tar	24.533	-156.646	15
383	SM008_072715_6pm_rep1.fastq.tar	24.539	-156.637	15
384	SM009_072715_10pm_rep1.fastq.tar	24.541	-156.634	15
385	SM010_072815_2am_rep1.fastq.tar	24.552	-156.581	15
386	SM011_072815_6am_rep1.fastq.tar	24.552	-156.585	15
387	SM012_072815_10am_rep1.fastq.tar	24.564	-156.557	15
388	SM013_072815_2pm_rep1.fastq.tar	24.595	-156.524	15
389	SM014_072815_2pm_rep2.fastq.tar	24.595	-156.524	15
390	SM015_072815_2pm_rep3.fastq.tar	24.595	-156.524	15
391	SM016_072815_6pm_rep1.fastq.tar	24.603	-156.51	15
392	SM017_072815_10pm_rep1.fastq.tar	24.603	-156.504	15
393	SM018_072915_2am_rep1.fastq.tar	24.586	-156.438	15
394	SM019_072915_6am_rep1.fastq.tar	24.576	-156.42	15
395	SM020_072915_10am_rep1.fastq.tar	24.57	-156.426	15
396	SM021_072915_2pm_rep1.fastq.tar	24.583	-156.413	15
397	SM022_072915_2pm_rep2.fastq.tar	24.583	-156.413	15
398	SM023_072915_2pm_rep3.fastq.tar	24.583	-156.413	15
399	SM024_072915_6pm_rep1.fastq.tar	24.576	-156.387	15
400	SM025_072915_10pm_rep1.fastq.tar	24.576	-156.381	15
401	SM026_073015_2am_rep1.fastq.tar	24.583	-156.364	15
402	SM027_073015_6am_rep1.fastq.tar	24.583	-156.363	15
403	SM028_080115_2pm_rep1.fastq.tar	24.481	-156.301	15
404	SM029_080115_2pm_rep2.fastq.tar	24.481	-156.301	15
405	SM030_080115_2pm_rep3.fastq.tar	24.481	-156.301	15
406	SM031_080215_2pm_rep1.fastq.tar	24.405	-156.355	15
407	SM032_080215_2pm_rep2.fastq.tar	24.405	-156.355	15
408	SM033_080215_2pm_rep3.fastq.tar	24.405	-156.355	15
409	SM034_080315_2pm_rep1.fastq.tar	24.286	-156.412	15
410	SM035_080315_2pm_rep2.fastq.tar	24.286	-156.412	15
411	SM036_080315_2pm_rep3.fastq.tar	24.286	-156.412	15
412	SM037_insitu_rep1.fastq.tar	24.387	-156.767	15
413	SM038_insitu_rep2.fastq.tar	24.387	-156.767	15
414	SM039_insitu_rep3.fastq.tar	24.387	-156.767	15
415	SM040_minusN_rep1.fastq.tar	24.387	-156.767	15
416	SM041_minusN_rep2.fastq.tar	24.387	-156.767	15
417	SM042_minusN_rep3.fastq.tar	24.387	-156.767	15
418	SM043_control_rep1.fastq.tar	24.387	-156.767	15
419	SM044_control_rep2.fastq.tar	24.387	-156.767	15
420	SM045_control_rep3.fastq.tar	24.387	-156.767	15
421	SM046_DSW_rep1.fastq.tar	24.387	-156.767	15
422	SM047_DSW_rep2.fastq.tar	24.387	-156.767	15
423	SM048_DSW_rep3.fastq.tar	24.387	-156.767	15
424	SM049_plusP_rep1.fastq.tar	24.387	-156.767	15
425	SM050_plusP_rep2.fastq.tar	24.387	-156.767	15
426	SM051_plusP_rep3.fastq.tar	24.387	-156.767	15
427	SM052_plusN_rep1.fastq.tar	24.387	-156.767	15
428	SM053_plusN_rep2.fastq.tar	24.387	-156.767	15
429	SM054_plusN_rep3.fastq.tar	24.387	-156.767	15
430	SM055_minusP_rep1.fastq.tar	24.387	-156.767	15
431	SM056_minusP_rep2.fastq.tar	24.387	-156.767	15
432	SM057_minusP_rep3.fastq.tar	24.387	-156.767	15
433	63272CE	24.4007	-156.818	100
434	63275CE	24.4007	-156.818	100
435	63278CE	24.4007	-156.818	100
436	63281CE	24.4007	-156.818	100
437	63273CE	24.4007	-156.818	75
438	63276CE	24.4007	-156.818	75
439	63279CE	24.4007	-156.818	75
440	63282CE	24.4007	-156.818	75
441	63265CE	24.2686	-156.815	150
442	11573CE1	24.4007	-156.818	100
443	11573CE2	24.4007	-156.818	100
444	11573CE3	24.4007	-156.818	100
445	11574CE1	24.4007	-156.818	100
446	11574CE2	24.4007	-156.818	100
447	11574CE3	24.4007	-156.818	100
448	11575CE1	24.4007	-156.818	75
449	11575CE2	24.4007	-156.818	75
450	11575CE3	24.4007	-156.818	75
451	11576CE1	24.4007	-156.818	75
452	11576CE2	24.4007	-156.818	75
453	11576CE3	24.4007	-156.818	75
454	63317CE	24.5797	-156.344	125
455	63318CE	24.5797	-156.344	125
456	63319CE	24.5797	-156.344	125
457	63320CE	24.5797	-156.344	125
458	63321CE	24.5797	-156.344	150
459	63322CE	24.5797	-156.344	150
460	63323CE	24.5797	-156.344	150
461	63324CE	24.5797	-156.344	150
462	11577CE1	24.5797	-156.344	125
463	11577CE2	24.5797	-156.344	125
464	11577CE3	24.5797	-156.344	125
465	11578CE1	24.5797	-156.344	125
466	11578CE2	24.5797	-156.344	125
467	11578CE3	24.5797	-156.344	125
468	11579CE1	24.5797	-156.344	100
469	11579CE2	24.5797	-156.344	100
470	11579CE3	24.5797	-156.344	100
471	63340CE	24.5097	-156.349	75
472	63341CE	24.5097	-156.349	75
473	63342CE	24.5097	-156.349	75
474	63343CE	24.5097	-156.349	75
475	63352CE	24.5097	-156.349	150
476	63353CE	24.5097	-156.349	150
477	63354CE	24.5097	-156.349	150
478	63355CE	24.5097	-156.349	150
479	11580CE1	24.5097	-156.349	75
480	11580CE2	24.5097	-156.349	75
481	11580CE3	24.5097	-156.349	75
482	11581CE1	24.5097	-156.349	75
483	11581CE2	24.5097	-156.349	75
484	11581CE3	24.5097	-156.349	75
485	11582CE1	24.5097	-156.349	75
486	11582CE2	24.5097	-156.349	75
487	11582CE3	24.5097	-156.349	75
488	63381CE	24.4942	-156.335	100
489	63382CE	24.4942	-156.335	100
490	63383CE	24.4942	-156.335	100
491	63384CE	24.4942	-156.335	100
492	11583CE1	24.4942	-156.335	100
493	11583CE2	24.4942	-156.335	100
494	11583CE3	24.4942	-156.335	100
495	11575A1	24.4007	-156.818	75
496	11575A2	24.4007	-156.818	75
497	11575A3	24.4007	-156.818	75
498	11580A1	24.5097	-156.349	75
499	11580A2	24.5097	-156.349	75
500	11580A3	24.5097	-156.349	75
501	11583A1	24.4942	-156.335	100
502	11583A2	24.4942	-156.335	100
503	11583A3	24.4942	-156.335	100
504	63273A	24.4007	-156.818	75
505	63276A	24.4007	-156.818	75
506	63340A	24.5097	-156.349	75
507	63341A	24.5097	-156.349	75
508	63381A	24.4942	-156.335	100
509	63382A	24.4942	-156.335	100
510	63352A	24.5097	-156.349	150
511	63353A	24.5097	-156.349	150
512	63354A	24.5097	-156.349	150
513	63355A	24.5097	-156.349	150
514	63265A	24.2686	-156.815	150
515	63321A	24.5797	-156.344	150
516	63322A	24.5797	-156.344	150
517	63323A	24.5797	-156.344	150
518	63324A	24.5797	-156.344	150
519	62147CE	22.75	-158	140
520	62148CE	22.75	-158	140
521	62153CE	22.75	-158	140
522	62154CE	22.75	-158	140
523	62185CE	22.75	-158	100
524	62186CE	22.75	-158	100
525	62191CE	22.75	-158	100
526	62192CE	22.75	-158	100
527	62199CE	22.75	-158	75
528	62200CE	22.75	-158	75
529	62205CE	22.75	-158	75
530	62206CE	22.75	-158	75
531	62207CE	22.75	-158	125
532	62208CE	22.75	-158	125
533	62213CE	22.75	-158	125
534	62214CE	22.75	-158	125
535	11586CE1	22.75	-158	140
536	11586CE2	22.75	-158	140
537	11586CE3	22.75	-158	140
538	11587CE1	22.75	-158	140
539	11587CE2	22.75	-158	140
540	11587CE3	22.75	-158	140
541	11588CE1	22.75	-158	140
542	11588CE2	22.75	-158	140
543	11588CE3	22.75	-158	140
544	11589CE1	22.75	-158	100
545	11589CE2	22.75	-158	100
546	11589CE3	22.75	-158	100
547	11590CE1	22.75	-158	100
548	11590CE2	22.75	-158	100
549	11590CE3	22.75	-158	100
550	11591CE1	22.75	-158	100
551	11591CE2	22.75	-158	100
552	11591CE3	22.75	-158	100
553	11592CE1	22.75	-158	75
554	11592CE2	22.75	-158	75
555	11592CE3	22.75	-158	75
556	11593CE1	22.75	-158	75
557	11593CE2	22.75	-158	75
558	11593CE3	22.75	-158	75
559	11594CE1	22.75	-158	75
560	11594CE2	22.75	-158	75
561	11594CE3	22.75	-158	75
562	11595CE1	22.75	-158	125
563	11595CE2	22.75	-158	125
564	11595CE3	22.75	-158	125
565	11596CE1	22.75	-158	125
566	11596CE2	22.75	-158	125
567	11596CE3	22.75	-158	125
568	11597CE1	22.75	-158	125
